Date,AAPL,MSFT,GOOG,AMZN,DB
2010-01-04,27.095369,24.827723000000002,311.34997599999997,133.899994,59.885597
2010-01-05,27.14221,24.835745000000003,309.978882,134.690002,61.030476
2010-01-06,26.710482,24.683319,302.164703,132.25,59.97555500000001
2010-01-07,26.661103999999998,24.42662,295.13046299999996,130.0,60.65430799999999
2010-01-08,26.838356,24.595085,299.06487999999996,133.520004,62.845932
2010-01-11,26.601601000000002,24.282234,298.612823,130.309998,62.494293000000006
2010-01-12,26.299009,24.12179,293.332153,127.349998,60.59705699999999
2010-01-13,26.669970000000003,24.346409,291.648102,129.110001,60.269951
2010-01-14,26.515507,24.835745000000003,293.019196,127.349998,59.942848
2010-01-15,26.072376000000002,24.755523999999998,288.12600699999996,127.139999,57.023384
2010-01-19,27.225779,24.948053,291.911407,127.610001,57.832985
2010-01-20,26.806704999999997,24.538933,288.329681,125.779999,56.164722
2010-01-21,26.343319,24.073666,289.606384,126.620003,53.645981000000006
2010-01-22,25.036724,23.231369,273.22790499999996,121.43,50.816479
2010-01-25,25.710279,23.520159,268.25524900000005,120.309998,52.239407
2010-01-26,26.073641000000002,23.664547,269.457428,119.480003,50.530258
2010-01-27,26.319265,23.800926,269.29846200000003,122.75,51.20084
2010-01-28,25.231701,23.3918,265.418701,126.029999,50.284924
2010-01-29,24.316326,22.605659,263.257751,125.410004,49.859688
2010-02-01,24.654367,22.790159,264.787811,118.870003,51.887768
2010-02-02,24.797435999999998,22.830275,263.843964,118.120003,53.482422
2010-02-03,25.224104,22.966642,268.662598,119.099998,52.402958
2010-02-04,24.315057999999997,22.332918,261.687958,115.940002,48.739334
2010-02-05,24.746792000000003,22.477314,263.928406,117.389999,48.690277
2010-02-08,24.577139000000003,22.236654,265.011353,116.83000200000001,47.349121000000004
2010-02-09,24.839218,22.469294,266.48675499999996,118.029999,50.881904999999996
2010-02-10,24.703745,22.453243,265.498199,117.360001,51.307148
2010-02-11,25.153202,22.557535,266.466888,120.089996,50.538441
2010-02-12,25.369703,22.405117,264.837494,119.660004,49.532574
2010-02-16,25.752064,22.848379,268.901062,117.529999,52.157639
2010-02-17,25.644442,23.041807000000002,267.366028,116.309998,51.879585
2010-02-18,25.692556,23.348060999999998,269.85485800000004,118.08000200000001,52.975407
2010-02-19,25.533033,23.186869,268.632813,117.519997,53.098071999999995
2010-02-22,25.374765,23.154633999999998,269.64621,118.010002,53.07354
2010-02-23,24.949368,22.832262,265.80618300000003,117.239998,50.710167
2010-02-24,25.405157,23.074039000000003,264.017822,119.720001,51.585190000000004
2010-02-25,25.574811999999998,23.049862,261.51409900000004,118.199997,51.24173
2010-02-26,25.906523,23.106277,261.697906,118.400002,51.928653999999995
2010-03-01,26.459799,23.388363000000002,264.623871,124.540001,52.591044999999994
2010-03-02,26.442078000000002,22.937031,268.78182999999996,125.529999,53.024467
2010-03-03,26.502844,22.937031,270.898071,125.889999,54.431038
2010-03-04,26.677568,23.074039000000003,275.503113,128.529999,55.199749
2010-03-05,27.720817999999998,23.041807000000002,280.28204300000004,128.91000400000001,56.76169599999999
2010-03-08,27.737270000000002,23.074039000000003,279.422638,130.110001,56.745342
2010-03-09,28.236110999999998,23.21105,278.285034,128.820007,57.24418299999999
2010-03-10,28.466535999999998,23.348060999999998,286.362488,130.509995,57.792094999999996
2010-03-11,28.550096999999997,23.517309,288.69232200000005,133.580002,58.519913
2010-03-12,28.689366999999997,23.58984,287.897491,131.820007,59.239559
2010-03-15,28.339926000000002,23.605959,279.770355,131.130005,59.026928000000005
2010-03-16,28.41716,23.670443,280.77383399999997,131.78999299999998,61.00595500000001
2010-03-17,28.375376,23.879978,280.952667,131.33999599999999,61.594749
2010-03-18,28.442484000000004,23.863861,281.369965,132.759995,60.59705699999999
2010-03-19,28.138621999999998,23.847746,278.190643,130.350006,59.991905
2010-03-22,28.455140999999998,23.855804,276.94872999999995,130.470001,60.032791
2010-03-23,28.912198999999998,24.08147,272.72616600000003,129.259995,60.572529
2010-03-24,29.04007,23.896103,276.864258,128.03999299999998,60.269951
2010-03-25,28.695690000000003,24.186245,279.621338,134.729996,61.243103000000005
2010-03-26,29.23378,23.904158,279.526947,135.059998,63.361137
2010-03-29,29.422417,23.847746,279.407715,135.119995,64.301575
2010-03-30,29.860489,23.992813,281.523956,136.580002,63.802746
2010-03-31,29.752874,23.605959,281.72763100000003,135.770004,62.86229300000001
2010-04-01,29.875681,23.501185999999997,282.56219500000003,131.809998,64.15437299999999
2010-04-05,30.194727,23.58984,283.660065,131.490005,64.824951
2010-04-06,30.327672999999997,23.630144,282.274078,135.559998,64.039902
2010-04-07,30.461873999999998,23.654312,279.949188,134.869995,62.445236
2010-04-08,30.379583,24.113705,281.911438,140.96000700000002,62.191734
2010-04-09,30.612543,24.4522,281.280548,140.059998,63.990826
2010-04-12,30.67585,24.436079,284.514496,141.199997,64.465141
2010-04-13,30.693572999999997,24.540851999999997,291.489136,140.16000400000001,64.33429699999999
2010-04-14,31.106317999999998,24.839054,292.596924,144.279999,66.714012
2010-04-15,31.515261,24.879347,295.72659300000004,145.820007,66.828491
2010-04-16,31.322824,24.718164,273.29745499999996,142.169998,60.65430799999999
2010-04-19,31.281036,25.016354,273.27261400000003,142.429993,60.163635
2010-04-20,30.967041,25.274254,275.726654,144.199997,61.13678
2010-04-21,32.819321,25.25008,275.35907000000003,146.429993,60.580707999999994
2010-04-22,33.737213,25.298435,271.762451,150.08999599999999,59.394936
2010-04-23,34.289246,24.951883,270.734131,143.630005,58.961514
